epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.166,1.87045,1.17351,1.12577,0.7962,0.73344,0.79017,0.44446,1.67415,0.9716,1.02435,0.0672444,0.000330864,0.000330864
2,851.613,1.69451,0.89974,1.03285,0.77532,0.77424,0.82375,0.47242,1.62937,0.89343,1.01365,0.0342313,0.000651046,0.000651046
3,1216.55,1.66064,0.87569,1.02434,0.82924,0.78942,0.8442,0.50051,1.59438,0.86038,1.00829,0.00120494,0.000958029,0.000958029
4,1576.89,1.64138,0.86441,1.02199,0.80088,0.77931,0.83323,0.49365,1.63944,0.90576,1.02732,0.0009406,0.0009406,0.0009406
5,2113.99,1.63101,0.85796,1.01748,0.83035,0.79152,0.84356,0.50125,1.59929,0.89581,1.0103,0.0009208,0.0009208,0.0009208
6,2471.61,1.61885,0.84703,1.01133,0.83188,0.78744,0.85167,0.51362,1.61291,0.86834,1.00762,0.000901,0.000901,0.000901
7,2875.17,1.59526,0.82929,1.00645,0.81828,0.80358,0.85286,0.51238,1.60844,0.83659,1.00492,0.0008812,0.0008812,0.0008812
8,3268.45,1.58609,0.82237,1.00617,0.82461,0.79749,0.84997,0.51498,1.59022,0.85204,1.00072,0.0008614,0.0008614,0.0008614
9,3633.84,1.57923,0.82197,1.0031,0.85658,0.81314,0.86866,0.53683,1.54035,0.80658,0.98869,0.0008416,0.0008416,0.0008416
10,3998.54,1.57003,0.80967,0.99828,0.8541,0.81503,0.87134,0.54195,1.52894,0.802,0.98082,0.0008218,0.0008218,0.0008218
11,4420.32,1.55959,0.80493,0.99431,0.85504,0.81401,0.8645,0.54183,1.53306,0.79878,0.98903,0.000802,0.000802,0.000802
12,4770.88,1.5596,0.80251,0.99427,0.83571,0.79749,0.8525,0.51932,1.59568,0.86008,0.99555,0.0007822,0.0007822,0.0007822
13,5134.48,1.54255,0.79401,0.99128,0.84561,0.8073,0.86069,0.53283,1.5653,0.80012,0.99167,0.0007624,0.0007624,0.0007624
14,5605.18,1.54962,0.79779,0.99104,0.84621,0.81311,0.86619,0.542,1.53954,0.80836,0.98484,0.0007426,0.0007426,0.0007426
15,6001.57,1.54095,0.79143,0.98933,0.85411,0.81868,0.86365,0.54576,1.53859,0.80481,0.99148,0.0007228,0.0007228,0.0007228
16,6358.25,1.52338,0.77922,0.98439,0.85558,0.81414,0.86508,0.54492,1.523,0.78708,0.9868,0.000703,0.000703,0.000703
17,6797.61,1.53644,0.78588,0.98893,0.84714,0.79546,0.86085,0.54489,1.53308,0.83649,0.97866,0.0006832,0.0006832,0.0006832
18,7355.18,1.52318,0.78134,0.98412,0.85478,0.81472,0.86959,0.55248,1.51452,0.77525,0.98148,0.0006634,0.0006634,0.0006634
19,7889.41,1.51134,0.77436,0.97903,0.85716,0.82224,0.87829,0.55706,1.48843,0.76156,0.97415,0.0006436,0.0006436,0.0006436
20,8254.08,1.50678,0.76961,0.9806,0.86059,0.82184,0.87252,0.55508,1.50499,0.77141,0.98184,0.0006238,0.0006238,0.0006238
21,8601.16,1.51024,0.77253,0.98105,0.8465,0.824,0.87395,0.55357,1.52159,0.78123,0.97868,0.000604,0.000604,0.000604
22,8980.93,1.50101,0.76469,0.97745,0.84725,0.82287,0.87209,0.55422,1.49369,0.77525,0.9813,0.0005842,0.0005842,0.0005842
23,9445.99,1.49769,0.76341,0.97801,0.85487,0.81646,0.87759,0.56057,1.4985,0.7751,0.97639,0.0005644,0.0005644,0.0005644
